accession,prop_value
NCT00343161:I.2002,"History of severe esophagitis (i.e. LA grade C or D)"
NCT00343161:I.2003,"Previous anti-reflux surgery"
NCT00343161:I.2004,"History of drug abuse"
NCT00343161:I.2005,"Female patients who are pregnant or lactating or at risk of pregnancy"
NCT00343161:I.3001,age
NCT00343161:I.3003,diagnosis
NCT00343161:I.3004,Medication
NCT00343161:I.3005,"Gastroesophageal reflux disease"
NCT00343161:I.3006,"Informed Consent"
NCT00343161:I.3007,Esophagitis
NCT00343161:I.3008,"Anti-reflux surgery"
NCT00343161:I.3009,pregnant
NCT00343161:I.3010,treatment
NCT00343161:I.3011,"Drug abuse"
NCT00343161:I.3012,"Breast feeding, Nursing"
NCT00349076:I.1001,"age at least 18 Years"
NCT00349076:I.1002,"Histologically proven, advanced primary carcinoma of the rectum (tumor ? 12cm from the anal verge, with clinically staged T3/4 or any node-positive disease"
NCT00349076:I.1003,"No prior therapy except a diverting stoma"
NCT00349076:I.1004,"ECOG performance status finding<= 2"
NCT00349076:I.1005,"Adequate bone marrow function: Leukocytes>3,5 x 10^9/L Absolute neutrophil count>1,5 x 10^9/L Platelet count>100 x 10^9/L Hemoglobin>10 g/dl"
NCT00349076:I.1006,"Adequate hepatic function: Total bilirubin<2,0 mg/dl ALAT, ASAT, alkaline phosphatase, gamma-GT<3 x ULN 7. Serum creatinine<1,5 mg/dl, creatinine-clearance>50 ml/min"
NCT00349076:I.1007,"Written informed consent before randomization"
NCT00349076:I.2001,"Pregnant or breast feeding women"
NCT00349076:I.2002,"Fertile patients without adequate contraception during therapy"
NCT00349076:I.2003,"Past or ongoing drug abuse or alcoholic excess"
NCT00349076:I.2004,"Prior Chemotherapy"
NCT00349076:I.2005,"Prior radiotherapy to the pelvis"
NCT00349076:I.2006,"Prior (within 4 weeks) or concurrent treatment with any other investigational agent"
NCT00349076:I.2007,"Psychological, familial, sociological or geographical condition potentially hampering compliance with the study protocol and follow-up schedule"
NCT00349076:I.2008,"History of severe somatic or psychological diseases: - instable cardiac disease not well controlled with medication, myocardial infarction within the last 6 months:* Central nervous system disorders or psychiatric disability including dementia or epileptic disease. * active uncontrolled intercurrent infections or sepsis"
NCT00349076:I.2009,"Peripheral neuropathy>2 (NCI CTC AE grading)"
NCT00349076:I.2010,"Previous or concurrent malignancies, with the exception of adequately treated basal cell carcinoma of the skin or in situ carcinoma of the cervix. The inclusion of patients with other adequately treated tumors within the last 5 years has to be discussed with the principal investigator"
NCT00349076:I.2011,"Chronic diarrhea (>NCI CTC AE-Grad 1)"
NCT00349076:I.2012,"Known allergy to substances containing platinum compounds"
NCT00349076:I.2013,"Concurrent use of the antiviral agent sorivudine or chemically related analogues"
NCT00349076:I.2014,"Known deficiency of dehydropyrimidindehydrogenase (DPD)"
NCT00351910:I.1001,"18 Years to 65 Years"
NCT00351910:I.1002,"A documented diagnosis of major depressive disorder"
NCT00351910:I.2001,"Patients with a DSM IV Axis I disorder other than MDD within 6 months of enrolment"
NCT00351910:I.2002,"Patients with a diagnosis of DSM IV Axis II disorder which has a major impact on the patient's current psychiatric status"
NCT00351910:I.2003,"Patients whose current episode of depression exceeds 12 months or is less than 4 weeks prior to enrolment"
NCT00354627:I.1001,"age at least 18 Years"
NCT00354627:I.1002,"Patient is at least 3-class experienced (3 classes of licensed oral antiretrovirals: nucleoside/tide reverse transcriptase inhibitors [N[t]RTI], protease inhibitors [PI], non-nucleoside reverse transcriptase inhibitors [NNRTI])"
NCT00354627:I.1003,"Patients with primary NNRTI resistance can be included if they are experienced with at least 2 classes of ARVs (PIs, N[t]RTIs) and meet all the other inclusion criteria"
NCT00354627:I.1004,"Patient has previously received 2 different PI-based regimens"
NCT00354627:I.1005,"Patient is unable to use currently approved NNRTIs due to resistance (primary or acquired) and/or intolerance"
NCT00354627:I.1006,"Patient, if currently receiving an ARV regimen, is not achieving adequate virologic suppression on his/her current regimen."
NCT00354627:I.2001,"Prior or current participation in DUET trials (TMC125-C206 or TMC125-C216)."
NCT00354627:I.2002,"Use of disallowed concomitant therapy, including disallowed antiretrovirals (ARV)"
NCT00354627:I.2003,"Use of investigational ARVs (with exceptions)"
NCT00354627:I.2004,"Any active clinically significant disease (e.g., cardiac dysfunction, pancreatitis, acute viral infection) or findings during screening of medical history or physical examination that is not either resolved or stabilized for at least 30 days before the Screening Phase"
NCT00354627:I.2005,"Pregnant or breast-feeding female"
NCT00354627:I.2006,"Female patient of childbearing potential not using effective non-hormonal birth control methods"
NCT00354627:I.2007,"Patients with specific laboratory abnormalities"
NCT00354627:I.2008,"Patients with clinical or laboratory evidence of significantly decreased hepatic function or decompensation."
NCT00355849:I.1001,"age>=18 Years"
NCT00355849:I.1002,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT00355849:I.1003,"one or more oral antihyperglycemic medications"
NCT00355849:I.1004,"once-daily insulin glargine"
NCT00355849:I.1005,"HbA1c greater than or equal to 7.5 and less than or equal to 10.5%"
NCT00355849:I.1006,Non-smoker
NCT00355849:I.2001,"taking a TZD dose greater than what is indicated"
NCT00355849:I.2002,"more than two episodes of severe hypoglycemia during the 6 months prior"
NCT00355849:I.2003,"Have had a lower respiratory infection in the 3 months prior"
NCT00355849:I.2004,"systemic Steroid Therapy"
NCT00355849:I.2005,"clinical signs or symptoms of liver disease, acute or chronic hepatitis"
NCT00355849:I.2006,"history of renal transplantation"
NCT00355849:I.2007,"active or untreated malignancy"
NCT00355849:I.2008,"Require more than 150 U/day of insulin glargine"
NCT00356109:I.1001,"age>=18 Years"
NCT00356109:I.1002,"Type 1 diabetes for at least 24 months"
NCT00356109:I.1003,"Have an HbA1c less than or equal to 11%"
NCT00356109:I.1004,"Patients who are on an insulin regimen involving 2 or 3 preprandial injections per day for at least 2 months"
NCT00356109:I.1005,Non-smoker
NCT00356109:I.2001,"Require a daily total insulin dosage greater than 150 U at screening"
NCT00356109:I.2002,"Patients who have a current or past history of asthma, chronic obstructive pulmonary disease, other clinically relevant pulmonary disease"
NCT00356109:I.2003,"systemic Steroid Therapy"
NCT00356109:I.2004,"Clinical signs or symptoms of liver disease, acute or chronic hepatitis"
NCT00356109:I.2005,"History of lung transplantation and/or lung cancer"
NCT00356109:I.2006,"Diagnosed with pneumonia in the 3 months prior to screening"
NCT00356109:I.2007,"History of renal transplantation"
NCT00356109:I.2008,"Active or untreated malignancy"
NCT00357227:I.1001,"age 50 Years to 85 Years"
NCT00357227:I.1002,"Clinical diagnosis of permanent, paroxysmal or episodic atrial fibrillation in the past or at present"
NCT00357227:I.2001,"Cardiac pacemaker"
NCT00357227:I.2002,"Metal implants"
NCT00357227:I.2003,"History of acute stroke"
NCT00357227:I.2004,"Diagnosis of vascular or degenerative dementia"
NCT00357227:I.2005,"History of brain tumors"
NCT00357227:I.2006,"History of severe brain injury"
NCT00357227:I.2007,"History of psychiatric disorders"
NCT00357227:I.2008,"Pregnancy, Gestation"
NCT00359762:I.1001,"age 18 Years to 85 Years"
NCT00359762:I.1002,"Diagnosed with type 2 diabetes mellitus."
NCT00359762:I.1003,"Treated with diet and exercise and a stable, maximally tolerated dose of metformin for at least 3 months prior to screening."
NCT00359762:I.1004,"HbA1c>=6.5% and<=9.0%."
NCT00359762:I.1005,"Body Mass Index (BMI)>=25 kg/m2 and<40 kg/m2."
NCT00359762:I.2001,"Participated in an interventional medical, surgical, or pharmaceutical study within 30 days prior to screening."
NCT00359762:I.2002,"Characteristics contraindicating metformin or glimepiride use."
NCT00359762:I.2003,"Receiving drugs that directly affect gastrointestinal motility."
NCT00359762:I.2004,"Receiving chronic (lasting longer than 2 weeks) systemic glucocorticoid therapy."
NCT00359762:I.2005,"Have used any prescription drug to promote weight loss within 3 months prior to screening."
NCT00359762:I.2006,
NCT00372229:I.1001,"age>= 18 Years"
NCT00372229:I.1002,"primary or secondary renal allograft within preceding 14 days"
NCT00372229:I.1003,"IgG seropositive for CMV"
NCT00372229:I.1004,"receiving immunosuppressive therapy"
NCT00372229:I.2001,"active CMV infection"
NCT00372229:I.2002,"current/history of malignancy"
NCT00372229:I.2003,"acute steroid resistant rejection episode since transplantation."
NCT00373373:I.1001,"age>= 61 Years"
NCT00373373:I.1002,"Patients with newly diagnosed AML (except APL) according to the FAB and WHO classification, including AML evolving from MDS or other hematologic diseases and AML after previous cytotoxic therapy or radiation (secondary AML)"
NCT00373373:I.1003,"Bone marrow aspirate or biopsy must contain>= 20% blasts of all nucleated cells, with the exception of AML FAB M6, where>= 30% of non-erythroid cells must be leukemic blasts"
NCT00373373:I.1004,"Age>= 61 years"
NCT00373373:I.1005,"Informed consent, personally signed and dated to participate in the study"
NCT00373373:I.1006,"Male patients enrolled in this trial must use adequate barrier birth control measures during the course of the Sorafenib treatment and for at least 3 months after the last administration of Sorafenib"
NCT00373373:I.2001,"Central nervous system manifestation of AML"
NCT00373373:I.2002,"Cardiac Disease: Heart failure NYHA III or IV.  Active coronary artery disease (MI more than 6 months prior to study entry is permitted).  Serious cardiac ventricular arrhythmias requiring anti-arrhythmic therapy (beta blockers or digoxin are permitted)"
NCT00373373:I.2003,"Chronically impaired renal function (creatinin clearance<30 ml/min)"
NCT00373373:I.2004,"Chronic pulmonary disease with relevant hypoxia"
NCT00373373:I.2005,"Inadequate liver function (ALT and AST>= 2.5 x ULN)"
NCT00373373:I.2006,"Total bilirubin>= 1.5 x ULN"
NCT00373373:I.2007,"Resting blood pressure (BP) consistently higher than systolic 160 mmHg and/or diastolic 95 mmHg"
NCT00373373:I.2008,"Any severe concomitant condition which makes it undesirable for the patient to participate in the study or which could jeopardise compliance with the protocol"
NCT00373373:I.2009,"Uncontrolled active infection"
NCT00373373:I.2010,"Concurrent malignancies other than AML"
NCT00373373:I.2011,"Previous treatment of AML except hydroxyurea and up to 2 days<= 100 mg/m2/d cytarabine"
NCT00373373:I.2012,"Known HIV and/or hepatitis C infection"
NCT00373373:I.2013,"Evidence or history of CNS disease, including primary or metastatic brain tumors, seizure disorders"
NCT00373373:I.2014,"Thrombotic or embolic events such as cerebrovascular accident or pulmonary embolism within 1 year of study entry"
NCT00373373:I.2015,"Evidence or history of severe non-leukemia associated bleeding diathesis or coagulopathy"
NCT00373373:I.2016,"History of organ allograft"
NCT00373373:I.2017,"Concomitant treatment with kinase inhibitors, angiogenesis inhibitors and Myelotarg"
NCT00373373:I.2018,"Patients with major surgery, open biopsy or significant traumatic injury within 4 weeks of start or first dose"
NCT00373373:I.2019,"Serious, non-healing wound, ulcer or bone fracture"
NCT00373373:I.2020,"Allergy to study medication or excipients in study medication"
NCT00373373:I.2021,"Investigational drug therapy outside of this trial during or within 4 weeks of study entry"
NCT00373373:I.2022,"Patients who are not eligible for standard chemotherapy"
NCT00376337:I.1001,"age>=18 Years"
NCT00376337:I.1002,"Adult patients with HSCT, acute leukaemia or myelodysplastic syndrome, with proven (probable only in case of pulmonary aspergillosis) invasive aspergillosis and refractory or intolerant to amphotericin B or voriconazole products"
NCT00376337:I.2001,"Patients with allergic bronchopulmonary aspergillosis, chronic pulmonary aspergillosis, aspergilloma, sinus aspergillosis or external otitis"
NCT00376337:I.2002,"patient with previous salvage therapy for the current episode of fungal infection"
NCT00384046:I.1001,"age 40 Years to 70 Years"
NCT00384046:I.1002,"Women will be screened for study participation according to the following inclusion criteria at Week -4. Eligible women must be a woman one year post menopausal, 40-70 years old in general good health on transdermal HRT and in a stable monogamous sexual relationship with low sexual desire causing distress."
NCT00384046:I.2001,"Women will be screened for study participation according to the following exclusion criteria at Week -4 or as specified. Eligible women must not have any medical, physical, psychological, or pharmacological condition that could confound safety or efficacy."
